POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION,ave_u,ave_ca,ave_as,ave_e
358535,34769,28.2446253,-81.2908465,ZIP,,,,1422,0,0,0,0
358536,34744,28.3009688,-81.329377,ZIP,,,,3415,0,0,0,0
358537,34769,28.247992,-81.287626,TESTCENTER,2274180,HIGH SCHOOL,SAINT CLOUD HIGH SCHOOL,,0.648166088,347.65,225.5211111,1521.171667
358538,33857,27.3361946,-81.1894425,ZIP,,,,64,0,0,0,0
358539,33867,27.7778557,-81.195762,ZIP,,,,1,0,0,0,0
358540,34972,27.509388,-80.929139,ZIP,,,,1731,0,0,0,0
358541,34972,27.311532,-80.847853,TESTCENTER,2266662,HIGH SCHOOL,OKEECHOBEE HIGH SCHOOL,,0.230179211,527,121.3044444,609.73
358542,34739,27.9305404,-81.1170319,ZIP,,,,50,0,0,0,0
358543,34772,28.1630353,-81.264079,ZIP,,,,1906,0,0,0,0
358544,34771,28.2843072,-81.1737305,ZIP,,,,1050,0,0,0,0
358545,34773,28.159876,-81.007582,ZIP,,,,251,0,0,0,0
358546,32940,28.1991197,-80.781941,ZIP,,,,1911,0,0,0,0
358547,34714,28.4030944,-81.7774927,ZIP,,,,972,0,0,0,0
358548,34711,28.552541,-81.757407,TESTCENTER,2272247,HIGH SCHOOL,EAST RIDGE HIGH SCHOOL,,0.554998768,682.125,377.6788889,2440.777778
358549,34711,28.5304961,-81.7533414,ZIP,,,,3525,0,0,0,0
358550,34787,28.4849233,-81.619305,ZIP,,,,3088,0,0,0,0
358551,34760,28.5547274,-81.6321656,ZIP,,,,81,0,0,0,0
358552,34786,28.4871407,-81.5519043,ZIP,,,,1802,0,0,0,0
358553,34787,28.542321,-81.591127,TESTCENTER,2274186,HIGH SCHOOL,WEST ORANGE HIGH SCHOOL,,0.7097489,197.9366667,140.2353333,940.698
358554,34715,28.6310164,-81.7260552,ZIP,,,,967,0,0,0,0
358555,34756,28.5836549,-81.6841079,ZIP,,,,208,0,0,0,0
358556,34705,28.6995665,-81.7189086,ZIP,,,,163,0,0,0,0
358557,32778,28.7733727,-81.7300743,ZIP,,,,909,0,0,0,0
358558,34761,28.5785766,-81.5341159,ZIP,,,,2738,0,0,0,0
358559,34761,28.583685,-81.532618,TESTCENTER,2271040,HIGH SCHOOL,OCOEE HIGH SCHOOL,,0.539713296,567.2333333,304.902,1867.880667
358560,32703,28.6714391,-81.5530545,ZIP,,,,3370,0,0,0,0
358561,32757,28.792787,-81.645593,TESTCENTER,2273755,HIGH SCHOOL,MOUNT DORA CHRISTIAN ACADEMY,,0.376724287,584.12,217.7283333,1945.374444
358562,32757,28.7730533,-81.6381185,ZIP,,,,1419,0,0,0,0
358563,32798,28.7237313,-81.5877195,ZIP,,,,65,0,0,0,0
358564,32836,28.4076589,-81.5197979,ZIP,,,,1199,0,0,0,0
358565,32821,28.3819985,-81.4795993,ZIP,,,,2236,0,0,0,0
358566,32837,28.3794254,-81.4291287,ZIP,,,,4091,0,0,0,0
358567,32837,28.394861,-81.417882,TESTCENTER,2272304,HIGH SCHOOL,FREEDOM HIGH SCHOOL,,0.331612916,478.975,160.7666667,1174.763333
358568,32819,28.4533753,-81.4723946,ZIP,,,,1942,0,0,0,0
358569,34734,28.537003,-81.5154539,ZIP,,,,314,0,0,0,0
358570,32835,28.5187296,-81.4862274,ZIP,,,,2971,0,0,0,0
358571,32835,28.528885,-81.478663,TESTCENTER,2272225,HIGH SCHOOL,OLYMPIA HIGH SCHOOL,,0.4334119,377.5416667,166.5408333,1009.259167
358572,32819,28.467258,-81.452484,TESTCENTER,2274209,HIGH SCHOOL,DOCTOR PHILLIPS HIGH SCHOOL,,0.617880613,511.7944444,316.2177778,4339.487778
358573,32839,28.4880695,-81.4072083,ZIP,,,,3581,0,0,0,0
358574,32811,28.5215683,-81.4474207,ZIP,,,,2799,0,0,0,0
358575,32805,28.5293798,-81.4036673,ZIP,,,,1489,0,0,0,0
358576,34743,28.3293078,-81.3551518,ZIP,,,,2931,0,0,0,0
358577,32824,28.393157,-81.362187,TESTCENTER,2274211,HIGH SCHOOL,CYPRESS CREEK HIGH SCHOOL,,0.302288248,1519.157778,465.5083333,2785.609444
358578,32824,28.3841644,-81.3330404,ZIP,,,,3356,0,0,0,0
358579,32827,28.415581,-81.2989902,ZIP,,,,259,0,0,0,0
358580,32809,28.4621456,-81.3859589,ZIP,,,,2008,0,0,0,0
358581,32809,28.461916,-81.381751,TESTCENTER,2274206,HIGH SCHOOL,OAK RIDGE HIGH SCHOOL,,0.242383768,1369.208333,328.9,4554.928889
358582,32801,28.5417738,-81.3743513,ZIP,,,,211,0,0,0,0
358583,32806,28.5117889,-81.360438,ZIP,,,,1311,0,0,0,0
358584,32806,28.513958,-81.356968,TESTCENTER,2274196,HIGH SCHOOL,WILLIAM R BOONE HIGH SCHOOL,,0.28176685,911.2,256.8886667,2229.289333
358585,32803,28.555897,-81.353462,TESTCENTER,2271172,HIGH SCHOOL,WORKFORCE ADVANTAGE ACADEMY,,0.326229384,139.0175,45.45666667,318.1566667
358586,32803,28.555897,-81.353462,TESTCENTER,2274189,HIGH SCHOOL,LAKE HIGHLAND PREP SCHOOL,,0.450794206,496.23,218.0316667,3566.291667
358587,32803,28.5558286,-81.3462909,ZIP,,,,659,0,0,0,0
358588,32812,28.4839913,-81.3228383,ZIP,,,,2292,0,0,0,0
358589,32822,28.4898979,-81.2901541,ZIP,,,,3500,0,0,0,0
358590,32814,28.5725837,-81.3223583,ZIP,,,,255,0,0,0,0
358591,32807,28.55,-81.3,TESTCENTER,2274201,HIGH SCHOOL,COLONIAL HIGH SCHOOL,,0.547991611,431.2333333,244.608,1777.717333
358592,32807,28.5543366,-81.29948,ZIP,,,,2171,0,0,0,0
358593,32818,28.5867506,-81.4868955,ZIP,,,,3641,0,0,0,0
358594,32703,28.661865,-81.485149,TESTCENTER,2272108,HIGH SCHOOL,WEKIVA HIGH SCHOOL,,0.406863922,416.5,169.4588235,1030.111176
358595,32808,28.580463,-81.44758,TESTCENTER,2274204,HIGH SCHOOL,MAYNARD EVANS HIGH SCHOOL,,0.16811574,2100.444444,354.4738889,2195.758889
358596,32808,28.5801095,-81.4442995,ZIP,,,,3790,0,0,0,0
358597,32804,28.5782899,-81.3964282,ZIP,,,,728,0,0,0,0
358598,32810,28.6251013,-81.4276904,ZIP,,,,2175,0,0,0,0
358599,32714,28.6625535,-81.4117021,ZIP,,,,2314,0,0,0,0
358600,32714,28.664983,-81.408533,TESTCENTER,2274150,HIGH SCHOOL,LAKE BRANTLEY HIGH SCHOOL,,0.382653687,552.33,211.3511111,1998.932222
358601,32712,28.711976,-81.513615,TESTCENTER,2266677,HIGH SCHOOL,APOPKA HIGH SCHOOL,,0.305619074,603.5,184.4411111,1231.272778
358602,32712,28.7486018,-81.48014,ZIP,,,,2798,0,0,0,0
358603,32776,28.820155,-81.5088936,ZIP,,,,650,0,0,0,0
358604,32779,28.727263,-81.4147793,ZIP,,,,2211,0,0,0,0
358605,32751,28.6304004,-81.365046,ZIP,,,,1250,0,0,0,0
358606,32789,28.5991883,-81.3522731,ZIP,,,,1767,0,0,0,0
358607,32701,28.665648,-81.370302,ZIP,,,,1188,0,0,0,0
358608,32730,28.6541616,-81.3437129,ZIP,,,,287,0,0,0,0
358609,32792,28.58,-81.32,TESTCENTER,2274187,HIGH SCHOOL,WINTER PARK HIGH SCHOOL,,0.273010381,1105,301.6764706,2345.957059
358610,32792,28.60779,-81.302112,TESTCENTER,2272942,HIGH SCHOOL,LAKE HOWELL HIGH SCHOOL,,0.199471405,680,135.6405556,1157.328333
358611,32792,28.6100965,-81.2983422,ZIP,,,,3782,0,0,0,0
358612,32707,28.6639592,-81.3150207,ZIP,,,,2271,0,0,0,0
358613,32708,28.68,-81.28,TESTCENTER,2273404,HIGH SCHOOL,WINTER SPRINGS HIGH SCHOOL,,0.173953177,1037,180.3894444,1262.793889
358614,32708,28.6871047,-81.2734453,ZIP,,,,3305,0,0,0,0
358615,32750,28.711994,-81.355238,TESTCENTER,2274173,HIGH SCHOOL,LYMAN HIGH SCHOOL,,0.275506179,430,109.7505882,801.3629412
358616,32750,28.7087842,-81.3508006,ZIP,,,,1674,0,0,0,0
358617,32746,28.7712355,-81.3546595,ZIP,,,,2854,0,0,0,0
358618,32746,28.75,-81.33,TESTCENTER,2274172,HIGH SCHOOL,LAKE MARY HIGH SCHOOL,,0.331178338,595,197.0511111,1983.073889
358619,32773,28.764385,-81.282042,TESTCENTER,2274181,2 YR COMM COLLEGE,SEMINOLE STATE COLLEGE,,0.088578431,255,22.5875,311.42375
